Channel name,Video id,Video title
FOOT BALL,ryMWfhM2gAE,b'Mbappe vs Kid \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
FOOT BALL,uJYO8CJwiHY,b'Eden Hazard flashbacks \xf0\x9f\x98\xa5\xf0\x9f\x98\xa5'
FOOT BALL,GP7v0Y3YngQ,b'Lionel Messi &amp; Alphonso Davies \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
FOOT BALL,4ANVk2loEko,b'Cristiano Ronaldo talks about his sacrifices!! #cr7 #football #cristiano #motivation'
FOOT BALL,4GB7yrS095s,b'Jorginho didn\xe2\x80\x99t like to be told that he is Sari\xe2\x80\x99s son\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f #jorginho #chelseafc #football'
FOOT BALL,bqdOL_KSmN4,b'Football hill training \xf0\x9f\x94\xa5 #football #footballtraining #soccertraining #hilltrain'
FOOT BALL,Ad38LhvA_TU,b'Martin Braithwaite the most UNDERRATED player in BARCELONA'
FOOT BALL,DvUYnvOCZXQ,b'The way Mbappe says Gini Wijnaldum \xf0\x9f\xa5\xb0 #psg #mbappe #wijnaldum #football'
FOOT BALL,JpJYGSgPJQQ,b'Mbappe talks about Marco Verratti \xf0\x9f\x98\x82\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f #mbappe #psg #veratti #fifa22'
FOOT BALL,Vp5iLz-D9uc,b'#football Funny Moments In Football #1'
